[RUN #0 5 30]
-30 522 -173 747 105
95 -452 99 -341 -663
190 638 281 154 -918
652 278 -997 -802 931
186 537 257 724 783
-564 310 422 -124 83
-699 -983 336 518 -708
-939 180 -928 -434 -11
273 45 744 -286 -260
36 148 -697 807 -834
-503 -280 861 521 -420
521 754 974 -223 425
723 -590 114 -378 -587
402 -346 -447 -761 347
378 -867 181 853 77
-926 -673 -465 -933 935
-925 339 -275 -579 130
-560 -858 -771 -651 -37
342 258 399 54 -953
-239 -11 63 -935 -779
-213 60 745 -201 90
-873 828 -425 -955 -361
-340 832 -971 -878 -724
706 676 561 630 -240
550 82 -435 -795 -120
-436 123 929 671 -953
-732 88 464 646 774
-385 -564 829 204 -680
388 -93 455 -616 323
207 43 343 -739 766
-682 448 886 -368 -716
847 -884 -581 -245 -84
-416 -557 -160 -692 -246
-932 564 -631 775 -123
-492 842 256 241 327
221 -993 -877 839 883
-502 -945 -615 271 -13
841 -553 249 276 -39
-878 476 256 602 766
754 115 520 778 525
-361 -334 293 -785 371
340 815 -723 440 -842
114 -260 -896 255 184
-82 -441 628 40 -265
-142 -264 -703 346 -223
-237 620 -43 296 -103
-685 -650 -260 -141 613
498 -67 -682 964 170
-720 -29 1 373 -710
-715 -479 -158 905 -262
-28 -296 374 360 -651
322 647 145 45 -746
465 454 533 724 39
16 211 -696 28 436
396 953 711 246 311
899 -645 357 -631 234
641 259 -262 994 703
82 -287 141 -925 871
47 -943 977 -789 -347
-33 -350 -577 -417 -301
-146 -474 369 -822 72
-867 922 565 -996 796
415 -806 -118 855 -588
-913 -441 -653 118 197
785 -893 230 -569 694
42 -332 759 -971 -582
-21 81 552 927 -100
-242 -823 740 -704 -269
92 126 795 48 932
-914 -760 -249 345 -257
-550 991 258 -647 -917
-283 47 273 -151 -772
51 -466 -145 52 706
915 -620 226 908 623
161 486 560 140 -763
-291 -977 -76 4 -300
415 -199 884 353 -208
-662 -573 476 -605 913
-901 -342 822 947 -510
-315 31 -761 -662 -483
378 -245 792 -904 133
186 -109 -765 18 519
298 452 433 -599 790
-617 -633 -274 -900 896
424 409 -323 -627 756
629 911 -598 166 -55
-364 967 -562 -111 788
827 -65 -797 992 -563
-975 223 478 -243 -111
35 776 -96 860 579
-784 -406 33 542 -965
[RUN #4 5 500]
-265 862 -877 413 818
-86 378 400 96 652
622 -659 375 501 422
-380 121 266 700 -264
141 -272 -754 -623 534
169 -749 134 655 582
472 78 -474 391 -653
95 696 163 -589 -299
-256 -883 -573 -333 761
93 622 -963 -342 -520
748 774 872 -450 426
36 765 -755 821 810
-227 684 -145 -432 -151
759 581 -885 869 503
-983 716 -309 49 -328
-883 -76 -258 90 -509
-537 -605 817 467 -950
-667 439 -582 -929 -810
-119 674 168 309 -969
15 -685 620 -882 613
980 277 -261 351 -207
430 -331 782 623 -380
949 -37 536 -394 -314
664 622 422 540 -908
777 943 -402 263 427
-21 893 145 -429 880
648 -6 29 -742 290
-775 343 937 716 997
-513 128 -417 996 -723
-975 213 235 368 98
-853 911 -219 829 -386
279 687 284 707 68
748 933 -832 311 831
76 -469 -74 368 671
751 -395 517 -623 -875
484 393 681 -863 -990
775 -631 -358 69 26
826 398 -638 349 840
705 -780 701 292 892
671 -248 609 -562 -778
-976 148 357 342 315
-988 -287 833 379 -21
-893 333 44 -407 -942
-563 8 515 689 231
-48 617 705 384 882
588 353 846 279 -825
170 547 -432 -407 717
-121 -725 -888 -7 711
-114 166 611 -221 -23
498 -236 -390 -172 -309
-707 -885 -387 -66 -376
836 -239 -935 689 632
583 -804 276 -452 -897
-391 -355 -100 -390 449
-814 -124 697 450 800
-362 788 -661 792 494
845 -724 -252 -383 -646
820 -639 191 -731 771
449 354 -152 303 -544
-411 -802 784 -159 860
-232 332 -263 381 -208
-418 694 -66 236 -687
421 -399 -625 103 -950
-440 -146 -434 -893 -419
144 145 -435 136 85
-973 -315 943 -670 -126
-21 -656 816 -531 808
2 -483 -797 -224 -659
548 210 -189 998 -918
-260 -708 -363 659 -654
620 -714 414 -99 -958
693 -146 -583 -77 957
-274 -701 -942 417 88
855 441 178 -172 352
832 -290 521 -253 -644
758 -858 89 340 561
-798 5 -49 -462 -842
270 -707 890 -708 601
573 867 -227 -625 -365
898 858 512 403 -293
-337 50 782 762 181
479 577 -116 -402 -278
-113 57 262 755 -549
994 -182 -379 -814 -124
428 -592 741 -844 -531
-98 40 97 357 -296
-743 -489 362 -933 -553
-465 -962 -302 -153 -606
-585 -102 695 955 729
881 381 -187 278 572
126 -479 735 392 195
361 952 609 -115 272
59 195 -39 183 -360
575 62 -907 -681 850
-267 -438 -396 807 677
874 978 422 852 872
-251 154 428 988 -689
-216 468 -630 437 -690
402 181 -592 205 -282
-431 -489 275 -950 582
-377 -264 -252 -765 649
-155 165 508 -123 217
-675 -645 515 -250 -249
-359 821 -574 721 -262
198 -475 -693 -584 11
248 -159 817 -725 79
-472 589 -75 507 598
-769 163 321 295 -89
619 548 -250 -462 -762
-316 -147 667 477 742
-40 549 833 -876 312
717 -973 -665 -628 -197
-266 249 677 363 -40
997 760 480 -545 668
623 544 -605 -203 432
-84 410 527 689 -730
-61 -809 747 -973 534
65 53 614 -658 812
776 -91 444 -551 -627
-936 -788 -573 -679 -35
432 -553 859 956 -388
444 -444 -751 307 -961
-979 807 692 467 530
553 -210 559 501 -904
-6 -657 834 -337 -970
-424 141 -498 -349 195
-843 672 456 -862 -446
-693 651 821 668 318
973 -219 -619 -498 -353
-581 751 643 492 -397
-834 46 -344 -923 -118
-942 -566 -988 311 -782
383 -976 -510 -696 -40
163 711 626 -547 -659
-83 -136 -135 650 157
-153 577 580 364 33
239 -721 292 -147 -590
-912 -959 -221 -493 583
172 408 921 729 -622
-783 244 -278 428 -592
972 -818 533 722 -593
788 481 569 -961 -726
-472 -161 -206 -240 -343
-328 204 687 372 -294
778 4 10 -590 824
332 698 645 663 -131
-195 -620 776 224 570
785 -556 -5 -327 -95
752 -454 907 -596 -602
-494 -459 -92 -139 380
145 113 29 -408 249
-593 -763 -184 402 818
442 614 -88 -73 151
778 -986 684 355 152
496 362 72 641 -566
-1000 968 38 794 829
282 -845 330 45 -390
130 224 -4 701 -700
153 -795 -143 -507 928
512 -826 500 87 -893
709 514 989 468 727
995 459 752 887 9
336 117 98 450 -673
-265 -882 -493 941 -293
499 63 452 -413 -141
-137 -885 570 -813 855
-346 459 979 456 934
-143 -59 -318 689 -38
-395 -525 998 497 130
860 -158 776 804 823
-20 212 -507 -165 331
-589 -212 -560 799 646
-127 7 524 470 -226
32 -35 -784 -694 -305
-997 -594 -361 -305 87
728 -942 -288 450 768
-671 -898 783 -999 -28
791 -490 128 -71 687
-674 149 123 -462 -387
712 915 -916 -374 162
-14 907 -949 916 -84
-494 -732 -902 -991 40
-173 -801 899 337 680
156 217 -172 712 -243
159 453 732 -283 -258
-362 -333 -746 -399 -402
-31 238 -48 -442 -613
-830 -499 468 -981 365
-81 -493 111 463 891
689 -134 809 964 -991
-571 -737 -476 120 908
-791 -420 90 -132 423
632 -127 884 993 -205
-28 281 261 -517 -481
-674 -52 630 -219 83
704 317 165 -978 774
609 603 -626 -592 950
182 390 695 47 -475
927 158 341 -357 728
154 -601 982 -450 -6
915 -754 44 -111 566
742 -487 -646 963 -665
-957 -455 854 -854 -576
818 -321 -799 -507 956
709 -379 232 -539 -436
-988 367 -56 913 290
133 -919 -473 -701 -384
-134 958 -842 21 -877
104 -470 -68 653 -505
-222 -817 -584 -818 555
-940 -551 120 -531 977
-559 -712 -135 930 -746
804 371 -473 132 524
-178 -650 -10 -722 -201
-931 774 -475 -935 632
583 730 -977 702 -4
-52 -582 -615 527 502
-450 -458 -493 331 -984
-875 -158 -722 391 67
345 -125 -704 959 -41
328 650 -48 439 -99
-559 797 753 -878 118
33 782 456 872 -821
124 -109 -909 -502 316
-283 -493 842 819 792
-199 547 -403 -156 -215
-447 -422 -875 -879 -303
555 413 -788 -453 627
-495 -383 -300 -750 374
905 681 123 -113 761
-25 -830 50 483 -163
-545 197 141 376 959
913 -358 -684 828 46
-761 782 448 -660 -218
178 -491 812 396 255
-187 -905 410 797 245
574 191 235 520 -19
171 -124 316 707 847
-6 829 268 578 -266
-962 -550 378 619 747
-718 -924 726 985 593
542 613 614 -553 -945
789 763 984 -205 824
-825 798 -653 180 854
-633 799 -209 398 157
-479 219 624 -79 -193
885 645 -45 887 -199
98 -392 -96 -994 748
542 -385 443 659 783
-975 -434 -623 414 -87
461 -575 902 445 -658
300 356 796 463 512
696 524 536 946 938
-383 722 795 -169 -942
537 439 -137 801 940
-861 266 922 419 466
40 -410 -63 -583 133
387 -657 -738 695 10
-816 908 865 708 459
-870 553 326 481 810
327 29 -565 184 539
-159 799 747 -659 139
35 344 314 -483 389
-909 321 178 -367 -177
866 594 833 852 890
378 -566 438 -361 -421
-679 353 -733 -810 -592
-253 -324 -428 813 128
757 139 44 -388 918
-28 -132 394 -37 -360
-829 867 -858 -53 279
-472 786 -967 74 282
85 -968 816 -575 -56
-906 665 -789 -537 844
194 342 -825 -178 -235
-222 122 -847 116 -510
410 694 826 -254 -213
903 991 821 -904 248
956 -978 -823 925 9
635 129 -17 324 -899
-773 -591 525 955 -6
146 -537 -401 469 988
383 -983 898 -549 -491
-5 847 -340 953 426
801 65 -500 524 153
719 281 -653 339 342
-239 -420 335 388 409
-534 -190 -563 818 397
738 689 905 473 -927
323 -791 639 210 -440
83 -136 -997 954 -34
322 499 -700 988 -184
-878 581 -613 356 -127
213 954 -451 396 -811
-708 -8 822 42 856
613 692 592 -145 -337
-497 167 -910 -336 87
-518 731 -576 -964 199
-191 527 -826 586 986
199 -160 617 -283 835
-355 -177 -857 -28 684
-416 10 377 -934 -353
-246 -720 -596 785 -532
-196 959 -465 -554 -83
-503 278 -651 222 -978
-322 -901 837 741 -721
-36 -503 -253 -271 976
-69 725 132 183 -444
-641 -138 -669 -433 -771
-317 922 -220 -187 -2
-585 97 -806 656 -688
270 -499 856 -225 423
-319 -13 -597 -800 -45
-536 -197 -36 -496 -841
-800 -672 -479 -39 -669
-58 -146 -979 -993 -822
-597 -290 384 822 673
477 360 57 -807 -439
-935 179 962 -882 -211
179 -564 -83 638 121
-100 -329 -653 751 -63
-148 814 -731 306 544
-641 -50 -747 408 -616
995 778 -974 585 -687
56 209 93 481 289
-195 43 972 -762 125
226 748 -266 231 -678
205 99 -726 -521 -993
-479 -506 -184 349 447
-533 281 841 -799 -58
401 698 -332 631 -413
512 197 919 -692 177
-113 800 501 -793 -410
-557 -558 -433 -434 751
400 -119 221 297 -781
-507 -21 723 554 -736
-746 -654 922 -950 -296
-688 -97 -826 -462 400
-411 -978 -654 216 -944
-774 -874 -119 -432 -974
-596 -518 954 -804 -311
-709 973 334 678 606
-772 555 995 718 707
663 -104 -279 -786 -956
-426 -979 760 869 -367
-469 -237 404 -178 101
948 608 884 -818 534
729 -923 834 -989 159
-674 -836 -222 339 -799
386 59 -47 772 -580
-648 208 434 745 -797
-673 50 -419 793 -759
-897 93 -894 -842 -783
-328 706 65 194 -826
-699 -461 -409 -438 -910
733 -55 -237 170 951
-480 -503 -133 -371 860
-965 -814 79 -518 365
897 -484 795 -803 -430
246 302 -438 338 -180
460 269 836 586 -292
619 -128 -403 882 -699
-585 -308 -813 324 642
72 -172 -275 918 -633
745 -56 225 715 457
288 660 463 869 -865
410 38 -211 -129 -999
-928 -419 -687 429 -303
-257 66 355 -48 286
306 651 537 -533 -27
-256 723 249 719 -836
230 968 -656 699 -177
437 88 -607 -795 -769
280 764 -833 376 -277
-799 -708 -102 892 376
401 -649 -869 -479 -685
-106 269 921 252 513
-495 -796 -546 468 136
240 -322 876 -159 -444
3 33 755 -881 117
395 -611 251 -419 198
-557 753 391 619 349
520 730 378 -146 33
662 730 -423 -51 89
-844 -659 -553 463 36
-322 -879 -69 -565 -795
756 48 747 879 616
974 -24 912 -341 45
-571 779 15 26 -54
-768 -190 -526 -430 -600
637 -445 370 -408 -677
622 -587 442 396 -471
-177 -436 -968 632 -272
601 572 991 -506 -153
-275 395 524 -12 528
-726 901 -395 677 192
-506 -756 -840 -67 -390
-64 538 -681 -842 -347
-249 -336 876 710 872
309 876 29 -725 500
179 -492 839 707 -919
-439 -350 671 33 704
-449 154 350 -426 -256
-894 956 -102 88 438
-795 625 405 -512 76
-145 352 -485 907 -371
-739 -904 211 -288 -821
394 -519 -780 242 -28
731 -121 -168 -774 -853
-863 -259 24 -833 -579
-603 714 349 -889 327
-806 -523 187 75 534
82 -912 795 389 921
-86 998 -423 477 992
-881 -725 -16 -850 529
464 868 -905 44 143
-366 -603 369 -955 821
-230 213 -601 -208 -89
427 524 536 -525 -370
542 -486 320 611 -825
-867 -176 533 -619 523
-412 688 -452 607 -932
-256 446 -441 413 -776
105 -296 -283 -379 -524
-317 -584 -495 -265 -17
140 -768 751 -648 -69
-695 -683 595 -556 967
193 -73 137 -495 169
-881 198 585 563 -199
-580 -440 540 -87 -335
-359 460 -185 -843 559
-394 -866 416 675 486
-239 -713 184 -840 -470
-695 -542 -374 -159 -530
456 197 -69 554 -269
-160 -290 -111 -904 8
169 841 166 747 -308
452 -888 -219 602 -840
908 -943 910 -652 -550
655 -931 -837 -949 898
-782 -699 -541 110 -991
326 60 208 221 -874
-433 618 508 360 614
-999 689 -339 183 463
-164 376 -647 563 -408
-721 185 529 946 904
-470 228 -441 882 69
415 -51 -985 826 -317
842 -442 -282 -157 378
283 320 10 432 -68
945 -749 723 156 768
488 -725 -525 887 660
-506 -569 -274 -764 -231
